	sample_id	anomaly_IF	anomaly_LOF	anomaly_OCSVM	SC
0	VGF138_A02	1	1	1	0
1	VGF138_A03	1	1	1	0
2	VGF138_A04	1	1	1	0
3	VGF138_A05	1	-1	1	1
4	VGF138_A06	1	1	1	0
5	VGF138_A07	1	1	1	0
6	VGF138_A08	1	1	1	0
7	VGF138_A09	1	1	1	0
8	VGF138_A10	1	1	1	0
9	VGF138_A11	1	1	1	0
10	VGF138_B02	1	-1	1	1
11	VGF138_B03	1	1	1	0
12	VGF138_B04	1	1	1	0
13	VGF138_B05	1	1	1	0
14	VGF138_B06	1	-1	1	1
15	VGF138_B07	1	1	1	0
